Time,Trust
0.010000,1.330015
0.020000,2.647549
0.030000,3.952698
0.040000,5.245553
0.050000,6.526209
0.060000,7.794759
0.070000,9.051294
0.080000,10.295907
0.090000,11.528687
0.100000,12.749726
0.110000,13.959114
0.120000,15.156940
0.130000,16.343294
0.140000,17.518261
0.150000,18.681932
0.160000,19.834394
0.170000,20.975733
0.180000,22.106033
0.190000,23.225384
0.200000,24.333868
0.210000,25.431572
0.220000,26.518578
0.230000,27.594969
0.240000,28.660831
0.250000,29.716246
0.260000,30.761292
0.270000,31.796055
0.280000,32.820614
0.290000,33.835052
0.300000,34.839443
0.310000,35.833874
0.320000,36.818420
0.330000,37.793159
0.340000,38.758175
0.350000,39.713535
0.360000,40.659325
0.370000,41.595615
0.380000,42.522488
0.390000,43.440014
0.400000,44.348270
0.410000,45.247334
0.420000,46.137272
0.430000,47.018166
0.440000,47.890083
0.450000,48.753101
0.460000,49.607288
0.470000,50.452721
0.480000,51.289463
0.490000,52.117596
0.500000,52.937180
0.510000,53.748291
0.520000,54.550995
0.530000,55.345364
0.540000,56.131466
0.550000,56.909367
0.560000,57.679138
0.570000,58.440845
0.580000,59.194553
0.590000,59.940331
0.600000,60.678242
0.610000,61.408356
0.620000,62.130733
0.630000,62.845440
0.640000,63.552540
0.650000,64.252098
0.660000,64.944183
0.670000,65.628845
0.680000,66.306160
0.690000,66.976181
0.700000,67.638969
0.710000,68.294594
0.720000,68.943115
0.730000,69.584579
0.740000,70.219063
0.750000,70.846619
0.760000,71.467308
0.770000,72.081184
0.780000,72.688309
0.790000,73.288750
0.800000,73.882545
0.810000,74.469765
0.820000,75.050468
0.830000,75.624702
0.840000,76.192528
0.850000,76.753998
0.860000,77.309174
0.870000,77.858109
0.880000,78.400848
0.890000,78.937462
0.900000,79.467987
0.910000,79.992493
0.920000,80.511017
0.930000,81.023628
0.940000,81.530365
0.950000,82.031281
0.960000,82.526436
0.970000,83.015869
0.980000,83.499641
0.990000,83.977806
1.000000,84.450401
1.010000,84.917480
1.020000,85.379097
1.030000,85.835304
1.040000,86.286140
1.050000,86.731651
1.060000,87.171898
1.070000,87.606918
1.080000,88.036766
1.090000,88.461487
1.100000,88.881119
1.110000,89.295723
1.120000,89.705330
1.130000,90.109993
1.140000,90.509758
1.150000,90.904671
1.160000,91.294769
1.170000,91.680107
1.180000,92.060715
1.190000,92.436653
1.200000,92.807953
1.210000,93.174660
1.220000,93.536819
1.230000,93.894470
1.240000,94.247650
1.250000,94.596413
1.260000,94.940796
1.270000,95.280838
1.280000,95.616577
1.290000,95.948059
1.300000,96.275314
1.310000,96.598396
1.320000,96.917343
1.330000,97.232178
1.340000,97.542961
1.350000,97.849716
1.360000,98.152481
1.370000,98.451309
1.380000,98.746223
1.390000,99.037262
1.400000,99.324471
1.410000,99.607887
1.420000,99.887535
1.430000,100.163460
1.440000,100.435699
1.450000,100.704285
1.460000,100.969254
1.470000,101.230644
1.480000,101.488487
1.490000,101.742813
1.500000,101.993668
1.510000,102.241074
1.520000,102.485077
1.530000,102.725700
1.540000,102.962982
1.550000,103.196953
1.560000,103.427650
1.570000,103.655106
1.580000,103.879341
1.590000,104.100403
1.600000,104.318321
1.610000,104.533119
1.620000,104.744835
1.630000,104.953499
1.640000,105.159142
1.650000,105.361786
1.660000,105.561470
1.670000,105.758232
1.680000,105.952080
1.690000,106.143066
1.700000,106.331207
1.710000,106.516533
1.720000,106.699074
1.730000,106.878868
1.740000,107.055931
1.750000,107.230293
1.760000,107.401985
1.770000,107.571030
1.780000,107.737465
1.790000,107.901314
1.800000,108.062599
1.810000,108.221359
1.820000,108.377602
1.830000,108.531372
1.840000,108.682678
1.850000,108.831566
1.860000,108.978050
1.870000,109.122154
1.880000,109.263908
1.890000,109.403343
1.900000,109.540466
1.910000,109.675323
1.920000,109.807922
1.930000,109.938301
1.940000,110.066475
1.950000,110.192467
1.960000,110.316307
